head,winner,loser,raw_generation
spoon,leash,warthog,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spoon: leash or warthog? Respond only with the item name.
model
Spoon"
food processor,hot-air balloon,cup,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to food processor: hot-air balloon or cup? Respond only with the item name.
model
Hot-air balloon"
snowsuit,uniform,shell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to snowsuit: uniform or shell? Respond only with the item name.
model
Shell"
coaster,crank,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coaster: crank or knee? Respond only with the item name.
model
Knee"
space shuttle,honeycomb,turbine,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to space shuttle: honeycomb or turbine? Respond only with the item name.
model
Turbine"
steak,toast,kite,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to steak: toast or kite? Respond only with the item name.
model
Toast"
crouton,camcorder,cookie cutter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crouton: camcorder or cookie cutter? Respond only with the item name.
model
Camcorder"
throne,carriage,yak,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to throne: carriage or yak? Respond only with the item name.
model
Carriage"
sea urchin,thorn,gurney,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sea urchin: thorn or gurney? Respond only with the item name.
model
thorn"
cannonball,fire,buoy,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cannonball: fire or buoy? Respond only with the item name.
model
Buoy"
shower,springboard,macadamia,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shower: springboard or macadamia? Respond only with the item name.
model
Macadamia"
beet,espresso,shower curtain,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to beet: espresso or shower curtain? Respond only with the item name.
model
Espresso"
razor,whale,chain,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to razor: whale or chain? Respond only with the item name.
model
Razor"
stool,corsage,hammock,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stool: corsage or hammock? Respond only with the item name.
model
Hammock"
lightbulb,pony,handbrake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lightbulb: pony or handbrake? Respond only with the item name.
model
Handbrake"
peach,polar bear,lettuce,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to peach: polar bear or lettuce? Respond only with the item name.
model
Lettuce"
sewing machine,pocketknife,squid,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sewing machine: pocketknife or squid? Respond only with the item name.
model
Pocketknife"
bedpan,chipmunk,basket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bedpan: chipmunk or basket? Respond only with the item name.
model
Chipmunk"
steamroller,gas mask,polar bear,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to steamroller: gas mask or polar bear? Respond only with the item name.
model
Gas mask"
pickax,polisher,raccoon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pickax: polisher or raccoon? Respond only with the item name.
model
Polisher"
spark plug,odometer,basil,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spark plug: odometer or basil? Respond only with the item name.
model
Odometer"
maggot,coyote,jeep,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to maggot: coyote or jeep? Respond only with the item name.
model
Jeep"
jeep,pancake,parking meter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jeep: pancake or parking meter? Respond only with the item name.
model
Pancake"
lens,hose,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lens: hose or meerkat? Respond only with the item name.
model
hose"
spring roll,fruitcake,throne,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spring roll: fruitcake or throne? Respond only with the item name.
model
Fruitcake"
grinder,stove,corsage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to grinder: stove or corsage? Respond only with the item name.
model
Stove"
meerkat,eggbeater,crow,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to meerkat: eggbeater or crow? Respond only with the item name.
model
Eggbeater"
toucan,chinchilla,gallows,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to toucan: chinchilla or gallows? Respond only with the item name.
model
Chinchilla"
ballot box,cilantro,laptop,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ballot box: cilantro or laptop? Respond only with the item name.
model
Cilantro"
soda,crossbow,water filter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to soda: crossbow or water filter? Respond only with the item name.
model
Crossbow"
kilt,bow,marshmallow,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to kilt: bow or marshmallow? Respond only with the item name.
model
Bow"
nail polish,alpaca,candy cane,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nail polish: alpaca or candy cane? Respond only with the item name.
model
Candy cane"
broom,vulture,paperclip,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to broom: vulture or paperclip? Respond only with the item name.
model
Vulture"
warthog,crystal,antelope,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to warthog: crystal or antelope? Respond only with the item name.
model
Crystal"
fondue,popcorn,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to fondue: popcorn or knee? Respond only with the item name.
model
Popcorn"
light switch,washboard,bowling ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to light switch: washboard or bowling ball? Respond only with the item name.
model
Washboard"
canister,coral,jar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to canister: coral or jar? Respond only with the item name.
model
Jar"
ravioli,cornhusk,crow,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ravioli: cornhusk or crow? Respond only with the item name.
model
Corn Husk"
shrimp,humvee,swan,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shrimp: humvee or swan? Respond only with the item name.
model
Humvee"
recliner,hedgehog,mattress,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to recliner: hedgehog or mattress? Respond only with the item name.
model
Mattress"
lectern,forklift,artichoke,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lectern: forklift or artichoke? Respond only with the item name.
model
Forklift"
thread,tumbleweed,shawl,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to thread: tumbleweed or shawl? Respond only with the item name.
model
Shawl"
tarp,car seat,quesadilla,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tarp: car seat or quesadilla? Respond only with the item name.
model
Car seat"
periscope,compass,patty,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to periscope: compass or patty? Respond only with the item name.
model
Patty"
glove,bumper,fire,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to glove: bumper or fire? Respond only with the item name.
model
Glove"
toothpaste,hot-water bottle,fire,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to toothpaste: hot-water bottle or fire? Respond only with the item name.
model
Hot-water bottle"
ferret,computer,fossil,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ferret: computer or fossil? Respond only with the item name.
model
Computer"
red carpet,cockroach,leash,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to red carpet: cockroach or leash? Respond only with the item name.
model
Leash"
board game,swing set,tugboat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to board game: swing set or tugboat? Respond only with the item name.
model
Swing set"
crown,sombrero,bubble wrap,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crown: sombrero or bubble wrap? Respond only with the item name.
model
Bubble wrap"
periscope,blower,milk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to periscope: blower or milk? Respond only with the item name.
model
Blower"
scalpel,latch,wedding cake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to scalpel: latch or wedding cake? Respond only with the item name.
model
Wedding cake"
croissant,stew,bulletproof vest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to croissant: stew or bulletproof vest? Respond only with the item name.
model
Stew"
penguin,racket,cockroach,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to penguin: racket or cockroach? Respond only with the item name.
model
Cockroach"
teapot,spider web,plastic film,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to teapot: spider web or plastic film? Respond only with the item name.
model
Spider web"
punching bag,scallion,pedometer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to punching bag: scallion or pedometer? Respond only with the item name.
model
Scallion"
footprint,snowshoe,yolk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to footprint: snowshoe or yolk? Respond only with the item name.
model
Snowshoe"
duffel bag,boar,camera,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to duffel bag: boar or camera? Respond only with the item name.
model
Duffel bag"
brass knuckles,doorhandle,meatloaf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to brass knuckles: doorhandle or meatloaf? Respond only with the item name.
model
Meatloaf"
tortilla,curry,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tortilla: curry or boar? Respond only with the item name.
model
Butternut squash"
wine cooler,spider,hot chocolate,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wine cooler: spider or hot chocolate? Respond only with the item name.
model
Hot chocolate"
gauge,checkers,dolphin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gauge: checkers or dolphin? Respond only with the item name.
model
Checkers"
pita,whipped cream,propeller,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pita: whipped cream or propeller? Respond only with the item name.
model
Whipped cream"
tadpole,bull,bookshelf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tadpole: bull or bookshelf? Respond only with the item name.
model
Bookshelf"
veil,toga,crayon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to veil: toga or crayon? Respond only with the item name.
model
Crayon"
lab coat,arugula,vest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lab coat: arugula or vest? Respond only with the item name.
model
Lab coat"
mop,torpedo,artichoke,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mop: torpedo or artichoke? Respond only with the item name.
model
Mop"
cabinet,otter,bucket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cabinet: otter or bucket? Respond only with the item name.
model
Bucket"
boa,stockings,firecracker,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to boa: stockings or firecracker? Respond only with the item name.
model
Stockings"
spinach,popsicle,kayak,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spinach: popsicle or kayak? Respond only with the item name.
model
Popsicle"
whisk,aardvark,noodle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to whisk: aardvark or noodle? Respond only with the item name.
model
Noodle"
stiletto,firewood,flatiron,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stiletto: firewood or flatiron? Respond only with the item name.
model
Firewood"
thumbtack,barcode,mongoose,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to thumbtack: barcode or mongoose? Respond only with the item name.
model
Mongoose"
ukulele,harmonica,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ukulele: harmonica or meerkat? Respond only with the item name.
model
Harmonica"
bowler hat,pocket watch,rabbit,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bowler hat: pocket watch or rabbit? Respond only with the item name.
model
Pocket watch"
siren,crab,paperclip,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to siren: crab or paperclip? Respond only with the item name.
model
Paperclip"
bonnet,blindfold,magnifying glass,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bonnet: blindfold or magnifying glass? Respond only with the item name.
model
Magnifying glass"
clothesline,cockroach,car seat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to clothesline: cockroach or car seat? Respond only with the item name.
model
Car seat"
barbed wire,ironing board,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to barbed wire: ironing board or knee? Respond only with the item name.
model
Ironing board"
cable,vulture,wire,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cable: vulture or wire? Respond only with the item name.
model
Wire"
pastry,anchor,acorn,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pastry: anchor or acorn? Respond only with the item name.
model
Pastry"
pizza,espresso,school bus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pizza: espresso or school bus? Respond only with the item name.
model
School bus"
rearview mirror,keyhole,milk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rearview mirror: keyhole or milk? Respond only with the item name.
model
Keyhole"
taillight,cockroach,smoke alarm,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to taillight: cockroach or smoke alarm? Respond only with the item name.
model
Smoke alarm"
payphone,electric chair,whale,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to payphone: electric chair or whale? Respond only with the item name.
model
Payphone"
bread,brass knuckles,pear,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bread: brass knuckles or pear? Respond only with the item name.
model
Brass knuckles"
cabbage,copier,palm tree,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cabbage: copier or palm tree? Respond only with the item name.
model
Copier"
windsock,megaphone,bean,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to windsock: megaphone or bean? Respond only with the item name.
model
megaphone"
bowler hat,pillow,fire,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bowler hat: pillow or fire? Respond only with the item name.
model
Pillow"
scaffolding,fork,dolphin,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to scaffolding: fork or dolphin? Respond only with the item name.
model
Fork"
sponge,chess piece,space shuttle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sponge: chess piece or space shuttle? Respond only with the item name.
model
Chess piece"
checkbook,vulture,wax paper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to checkbook: vulture or wax paper? Respond only with the item name.
model
Wax paper"
cornbread,headband,grill,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cornbread: headband or grill? Respond only with the item name.
model
Grill"
pogo stick,cream,piano,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pogo stick: cream or piano? Respond only with the item name.
model
Piano"
poodle,cougar,soccer ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to poodle: cougar or soccer ball? Respond only with the item name.
model
Cougar"
plate,kaleidoscope,chipmunk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to plate: kaleidoscope or chipmunk? Respond only with the item name.
model
Chipmunk"
gyroscope,grate,hookah,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gyroscope: grate or hookah? Respond only with the item name.
model
Hookah"
pine tree,cream,watering can,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pine tree: cream or watering can? Respond only with the item name.
model
Cream"
stockings,snowsuit,organ,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stockings: snowsuit or organ? Respond only with the item name.
model
Organ"
tile,film,ankle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tile: film or ankle? Respond only with the item name.
model
Film"
espresso,waffle iron,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to espresso: waffle iron or boar? Respond only with the item name.
model
Waffle iron"
shredder,padlock,hedgehog,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shredder: padlock or hedgehog? Respond only with the item name.
model
Padlock"
beaker,clover,can,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to beaker: clover or can? Respond only with the item name.
model
Beaker"
oil,jet,eggbeater,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to oil: jet or eggbeater? Respond only with the item name.
model
Eggbeater"
t-shirt,cilantro,holster,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to t-shirt: cilantro or holster? Respond only with the item name.
model
T-shirt"
pizza,grain,xylophone,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pizza: grain or xylophone? Respond only with the item name.
model
Pizza"
christmas tree,knee,dessert,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to christmas tree: knee or dessert? Respond only with the item name.
model
Dessert"
squirt gun,man,peach,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to squirt gun: man or peach? Respond only with the item name.
model
Peach"
nail,hourglass,badger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nail: hourglass or badger? Respond only with the item name.
model
Hourglass"
bamboo,scalpel,crumb,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bamboo: scalpel or crumb? Respond only with the item name.
model
Scalpel"
tamale,bus,berry,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tamale: bus or berry? Respond only with the item name.
model
Bus"
boat,doll,go-kart,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to boat: doll or go-kart? Respond only with the item name.
model
Go-kart"
oven,blind,whale,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to oven: blind or whale? Respond only with the item name.
model
Oven"
baton,knee,ironing board,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to baton: knee or ironing board? Respond only with the item name.
model
Ironing board"
bag,chaps,hawk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bag: chaps or hawk? Respond only with the item name.
model
Chaps"
peach,poker,lemon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to peach: poker or lemon? Respond only with the item name.
model
Poker"
bus,headrest,tiger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bus: headrest or tiger? Respond only with the item name.
model
Headrest"
road sign,knee,sweeper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to road sign: knee or sweeper? Respond only with the item name.
model
Knee"
velcro,tuba,insole,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to velcro: tuba or insole? Respond only with the item name.
model
Insole"
pastry,ferry,burrito,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pastry: ferry or burrito? Respond only with the item name.
model
Pastry"
tupperware,shopping cart,cobra,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tupperware: shopping cart or cobra? Respond only with the item name.
model
Shopping cart"
ice,uniform,seed,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ice: uniform or seed? Respond only with the item name.
model
Uniform"
radar,radio,piglet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to radar: radio or piglet? Respond only with the item name.
model
Radio"
coat,piglet,buckle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coat: piglet or buckle? Respond only with the item name.
model
Coat"
lego,ticktacktoe,clipper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lego: ticktacktoe or clipper? Respond only with the item name.
model
LEGO"
ribbon,banner,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ribbon: banner or meerkat? Respond only with the item name.
model
Banner"
bush,shears,bulletproof vest,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bush: shears or bulletproof vest? Respond only with the item name.
model
Bulletproof vest"
sandal,brussels sprouts,cornhusk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sandal: brussels sprouts or cornhusk? Respond only with the item name.
model
Brussels sprouts"
bologna,space shuttle,tamale,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bologna: space shuttle or tamale? Respond only with the item name.
model
Tamale"
can,tongs,polar bear,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to can: tongs or polar bear? Respond only with the item name.
model
Tongs"
owl,lightning bug,filter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to owl: lightning bug or filter? Respond only with the item name.
model
Lightning bug"
crossbow,sorbet,baton,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crossbow: sorbet or baton? Respond only with the item name.
model
Sorbet"
rooster,lamb chop,oar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rooster: lamb chop or oar? Respond only with the item name.
model
Rooster chop"
possum,pheasant,diaper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to possum: pheasant or diaper? Respond only with the item name.
model
Diaper"
graffiti,cream,stamp,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to graffiti: cream or stamp? Respond only with the item name.
model
Stamp"
tomato,saffron,tapestry,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tomato: saffron or tapestry? Respond only with the item name.
model
Tomato"
bathtub,doorstop,chariot,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bathtub: doorstop or chariot? Respond only with the item name.
model
Doorstop"
bassinet,licorice,stroller,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bassinet: licorice or stroller? Respond only with the item name.
model
Stroller"
checkers,amplifier,vulture,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to checkers: amplifier or vulture? Respond only with the item name.
model
Amplifier"
cleat,corsage,baton,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cleat: corsage or baton? Respond only with the item name.
model
Baton"
elbow,mustache,bowling ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to elbow: mustache or bowling ball? Respond only with the item name.
model
Mustache"
mousepad,wallet,artichoke,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mousepad: wallet or artichoke? Respond only with the item name.
model
Wallet"
cushion,balance beam,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cushion: balance beam or knee? Respond only with the item name.
model
Cushion"
clover,flag,handkerchief,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to clover: flag or handkerchief? Respond only with the item name.
model
Handkerchief"
bomb,jetski,beaver,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bomb: jetski or beaver? Respond only with the item name.
model
Jet Ski"
scuba,poppy,crank,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to scuba: poppy or crank? Respond only with the item name.
model
Scuba"
sweater,beet,scarecrow,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sweater: beet or scarecrow? Respond only with the item name.
model
Beet"
hot tub,ferry,dynamite,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hot tub: ferry or dynamite? Respond only with the item name.
model
Ferry"
barbed wire,backdrop,milk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to barbed wire: backdrop or milk? Respond only with the item name.
model
Milk"
extinguisher,inkwell,whale,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to extinguisher: inkwell or whale? Respond only with the item name.
model
Inkwell"
parachute,ferris wheel,wolf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to parachute: ferris wheel or wolf? Respond only with the item name.
model
Ferris wheel"
sleeping bag,diamond,duffel bag,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sleeping bag: diamond or duffel bag? Respond only with the item name.
model
Duffel bag"
bib,potholder,boulder,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bib: potholder or boulder? Respond only with the item name.
model
Potholder"
flask,meerkat,milkshake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to flask: meerkat or milkshake? Respond only with the item name.
model
Milkshake"
handcuff,collar,fishbowl,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to handcuff: collar or fishbowl? Respond only with the item name.
model
Fishbowl"
coffee bean,bread,rack,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coffee bean: bread or rack? Respond only with the item name.
model
Bread"
knife,wire cutters,beetle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to knife: wire cutters or beetle? Respond only with the item name.
model
Wire cutters"
ruby,test tube,kaleidoscope,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ruby: test tube or kaleidoscope? Respond only with the item name.
model
Kaleidoscope"
jar,tab,eagle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jar: tab or eagle? Respond only with the item name.
model
Jar"
tapestry,wolf,stamp,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tapestry: wolf or stamp? Respond only with the item name.
model
Stamp"
hairpin,pennant,sloth,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hairpin: pennant or sloth? Respond only with the item name.
model
Pennant"
aloe,clarinet,banana peel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to aloe: clarinet or banana peel? Respond only with the item name.
model
Aloe"
penlight,corsage,trowel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to penlight: corsage or trowel? Respond only with the item name.
model
Corsage"
eggnog,beaver,ice cream,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to eggnog: beaver or ice cream? Respond only with the item name.
model
Ice cream"
truck,scallion,snowmobile,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to truck: scallion or snowmobile? Respond only with the item name.
model
Snowmobile"
guacamole,cream cheese,sawhorse,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to guacamole: cream cheese or sawhorse? Respond only with the item name.
model
Guacamole"
gearshift,door,meerkat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gearshift: door or meerkat? Respond only with the item name.
model
Door"
razor blade,comb,raccoon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to razor blade: comb or raccoon? Respond only with the item name.
model
Comb"
wasp,coal,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wasp: coal or boar? Respond only with the item name.
model
Boar"
dog,flamingo,bus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to dog: flamingo or bus? Respond only with the item name.
model
Flamingo"
sombrero,shell,flag,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sombrero: shell or flag? Respond only with the item name.
model
Shell"
lamp,basil,phone,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to lamp: basil or phone? Respond only with the item name.
model
Phone"
spider web,garter,rake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spider web: garter or rake? Respond only with the item name.
model
Rake"
cherry,tapestry,quiche,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cherry: tapestry or quiche? Respond only with the item name.
model
Tapestry"
sofa bed,crow,slipper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sofa bed: crow or slipper? Respond only with the item name.
model
Slipper"
handlebar,peach,shelf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to handlebar: peach or shelf? Respond only with the item name.
model
Shelf"
