item,embedding
tool,1.9982527494430542 0.024547481909394264 0.014219267293810844 0.1642296314239502 0.04686788469552994 0.012663991190493107 0.2571181356906891 0.12332314997911453 0.5533782243728638 0.0961882695555687 0.13281293213367462 0.034001924097537994 0.04071047529578209 0.032715991139411926 0.0206373892724514 1.1506410837173462 1.0159119367599487 0.015343944542109966 0.04606190323829651 0.11798346787691116 0.027952872216701508 0.026048826053738594 0.31808990240097046 0.015439454466104507 0.03113732486963272 0.019950419664382935 0.0697450339794159 0.06200302392244339 0.006527489982545376 0.022224856540560722 0.056251298636198044 0.012378201819956303 0.062141235917806625 0.03730355203151703 0.0026485498528927565 0.06540966033935547 0.013332473114132881 0.040656477212905884 0.017577877268195152 0.018773436546325684 0.016736989840865135 0.13064321875572205 0.015052937902510166 0.027660295367240906 0.029119445011019707 0.1421741247177124 0.027734573930501938 0.01993095688521862 0.03592771291732788
toolbox,1.4653688669204712 0.01680067554116249 0.03354799747467041 0.14789967238903046 0.2105574756860733 0.1043955609202385 0.25412502884864807 0.4807465970516205 0.10996115952730179 0.04535245522856712 0.4704081416130066 0.05846615508198738 0.4926754832267761 0.01825093850493431 0.02504606358706951 1.044473648071289 0.33414745330810547 0.6707823276519775 0.02111031673848629 0.010392923839390278 0.05185765027999878 0.010269194841384888 0.02496778592467308 0.022864894941449165 0.05552784726023674 0.02035684697329998 0.03571280464529991 0.03668975457549095 0.020072635263204575 0.06411658972501755 0.030413499101996422 0.015557828359305859 0.051890529692173004 0.01711600087583065 0.04461578652262688 0.10332076996564865 0.11405377089977264 0.024479040876030922 0.8073548078536987 0.013458093628287315 0.03350989148020744 0.014862854033708572 0.03795098513364792 0.6973167657852173 0.07574958354234695 0.314247190952301 0.028341788798570633 0.03056325763463974 0.017362095415592194
tooth,0.2022801786661148 0.7926774024963379 0.35922762751579285 0.1193072572350502 0.16987824440002441 0.02072194404900074 0.03156352788209915 0.06733576208353043 0.009749785996973515 1.1446716785430908 0.004080505575984716 0.0614534430205822 0.06563237309455872 0.025390326976776123 0.033892713487148285 0.023648971691727638 0.40842053294181824 0.07964584976434708 0.010221689939498901 0.03788284584879875 0.025846267119050026 0.022714955732226372 0.03891115263104439 0.20542412996292114 0.810268759727478 0.043144386261701584 0.06972314417362213 0.02142002247273922 0.027277512475848198 0.07078661769628525 0.007290988694876432 0.019368547946214676 0.6628655195236206 0.5371595025062561 0.02021711692214012 0.09253718703985214 0.47924110293388367 0.520052969455719 0.031501404941082 0.02777126058936119 0.6900598406791687 0.027566630393266678 0.02623080648481846 0.004946110770106316 0.049896758049726486 0.404999315738678 0.07603639364242554 0.10904240608215332 0.0408402681350708
toothbrush,0.5789019465446472 0.6472758054733276 0.020458856597542763 0.6123771667480469 0.36399775743484497 0.015465423464775085 0.004842804744839668 0.014087319374084473 0.019408773630857468 0.08935664594173431 0.4037817120552063 0.04342244192957878 0.05909663438796997 0.2269441932439804 0.0056855520233511925 1.1834739446640015 0.04648334160447121 0.04675529897212982 0.5474767684936523 0.7317667603492737 0.0048978072591125965 0.014295523054897785 0.03616641089320183 0.1324630081653595 1.7314915657043457 0.16216941177845 0.015013606287539005 0.06972423195838928 0.0009429214405827224 0.0024097333662211895 0.06984934955835342 0.0212588869035244 7.092953455867246e-05 0.01832415908575058 0.007192917633801699 0.036657270044088364 0.009442828595638275 0.011024701409041882 0.04736984893679619 0.04736408591270447 0.10773202031850815 0.013017549179494381 0.06508699059486389 0.0012306299759075046 0.010147325694561005 0.38449448347091675 0.030647387728095055 0.0158920306712389 0.009656030684709549
toothpaste,0.24560241401195526 0.8941561579704285 0.03808770701289177 0.07216738909482956 0.058375004678964615 0.052281394600868225 0.05243031308054924 0.1345897614955902 0.16591215133666992 0.7235472202301025 1.3135401010513306 0.11739505082368851 0.010958011262118816 0.07178952544927597 0.9786413311958313 0.09641241282224655 0.4379376173019409 0.09131356328725815 0.09787589311599731 0.03791496902704239 0.061464592814445496 0.06908298283815384 0.1799529790878296 0.04254031553864479 1.3580960035324097 0.0034671423491090536 0.05596766993403435 0.15891636908054352 0.08059950917959213 0.0038342252373695374 0.5212612152099609 0.3011718690395355 0.08044655621051788 0.08814354985952377 0.15170559287071228 0.2081274837255478 0.057417526841163635 0.026506813243031502 0.02620365470647812 0.04586341604590416 0.06329790502786636 0.02827349491417408 0.009787025861442089 0.0057706329971551895 0.027963362634181976 0.02997588738799095 0.3018152713775635 0.017524605616927147 0.005851811729371548
toothpick,0.49891266226768494 0.8968114256858826 0.1044718474149704 0.040966492146253586 0.3320750892162323 0.26931053400039673 0.06615840643644333 0.00690561905503273 1.031090497970581 0.0505928210914135 0.24568358063697815 0.355479896068573 0.031155982986092567 0.031241439282894135 0.0196008812636137 0.7343131899833679 0.556533694267273 0.17650388181209564 0.2370588183403015 1.183651328086853 0.014624441973865032 0.02886875532567501 0.002535535953938961 0.04841112717986107 0.30909067392349243 0.008583719842135906 0.01199972815811634 0.0663350373506546 0.09101557731628418 0.0033634083811193705 0.8637039661407471 0.01993534527719021 0.06820771098136902 0.5892699360847473 0.020464953035116196 0.13418686389923096 0.014327376149594784 0.02253868617117405 0.0038541173562407494 0.04854165017604828 0.008713441900908947 0.024805236607789993 0.0312841571867466 0.008579296991229057 0.017101187258958817 0.10550657659769058 0.013880043290555477 0.024140615016222 0.004944005981087685
top hat,0.7935153245925903 0.03213007003068924 0.17792828381061554 1.2523531913757324 0.03578990697860718 0.03312449902296066 0.04384893923997879 0.061229098588228226 0.18101973831653595 0.1338723599910736 0.1865849792957306 0.7793821692466736 0.013035970740020275 0.39798617362976074 0.3181763291358948 0.039614878594875336 0.029677851125597954 0.11250138282775879 0.2507462203502655 0.026695171371102333 0.034144848585128784 0.04330213740468025 0.09222818166017532 0.2854127883911133 0.030493106693029404 1.190852403640747 0.16045601665973663 0.2832769751548767 0.051960691809654236 0.11387944221496582 0.034459780901670456 0.0520356260240078 0.05491439998149872 0.20380958914756775 0.05754684656858444 0.12180988490581512 0.07655659317970276 0.05585278198122978 0.017495036125183105 0.020488224923610687 0.8166418671607971 0.028611857444047928 0.10977751761674881 0.07858452200889587 0.30824539065361023 0.15339428186416626 0.06806840002536774 0.07984259724617004 0.03383679687976837
torch,1.183577537536621 0.24498577415943146 0.05308552458882332 0.04200590401887894 0.07649733126163483 0.3534180521965027 0.36211279034614563 0.09798372536897659 0.206462100148201 0.16501814126968384 0.06229350343346596 0.5354048609733582 0.261763334274292 0.0865294337272644 0.01473105140030384 0.026332562789320946 0.02640189230442047 0.03487450256943703 0.9004368185997009 0.11187995970249176 0.011337301693856716 0.5658895969390869 0.20312081277370453 0.01929880492389202 0.023987459018826485 0.014276253990828991 0.3713495433330536 0.060353685170412064 0.6101772785186768 0.0442030169069767 0.04140608385205269 0.5031940340995789 0.020420510321855545 0.03707683086395264 0.018510939553380013 0.010655376128852367 0.021994510665535927 0.05212688073515892 0.04449525102972984 1.3376924991607666 0.25140121579170227 0.02118249237537384 0.03780848905444145 0.03343600779771805 0.013324396684765816 0.013735401444137096 1.1549105644226074 0.022982316091656685 0.5005021691322327
torpedo,1.2522001266479492 0.019348138943314552 0.028800657019019127 0.03862931579351425 0.17961385846138 0.07826593518257141 0.572562038898468 0.86141437292099 0.051531046628952026 0.02670610509812832 0.40834322571754456 0.04543474316596985 0.0034420201554894447 0.15868054330348969 0.09255055338144302 0.14042089879512787 0.02690880559384823 0.05204733833670616 0.032059673219919205 0.91390460729599 0.43047264218330383 0.01222605537623167 0.028114479035139084 0.006321531720459461 0.02890787087380886 0.01744556985795498 0.7708250880241394 0.46791040897369385 0.5128815770149231 0.010519650764763355 0.05951175466179848 0.0445290133357048 0.016785969957709312 0.05749911814928055 0.01992197148501873 0.04754588007926941 0.0406188890337944 0.017726777121424675 0.31621742248535156 0.11981341242790222 0.025679072365164757 0.06961086392402649 0.14123187959194183 0.03992871940135956 0.05424278602004051 0.15028278529644012 0.005980690475553274 0.01933171972632408 0.016910601407289505
torso,0.03875117003917694 0.377322256565094 0.6296463012695312 0.23547740280628204 0.13081291317939758 0.023489568382501602 0.037806641310453415 0.20464174449443817 0.21640469133853912 2.3311378955841064 0.01947937346994877 0.022551653906702995 0.004928624723106623 0.4972365200519562 0.003669981611892581 0.030280424281954765 0.028156256303191185 0.012677199207246304 0.024510465562343597 0.007776800077408552 0.21205605566501617 0.0276538897305727 0.04206836596131325 0.030587555840611458 0.042078688740730286 0.021809957921504974 0.6465408802032471 0.00915971677750349 0.015629488974809647 0.04530682787299156 0.035545527935028076 0.04057958722114563 0.04628824442625046 0.029743488878011703 0.02799629606306553 0.03846117854118347 0.05589854717254639 0.007142547518014908 0.06050300598144531 0.03110162727534771 0.020823413506150246 0.004596743732690811 0.04890407249331474 0.024921288713812828 0.013073361478745937 0.014148468151688576 0.05975676700472832 0.03695926070213318 0.011631131172180176
tortellini,0.08921026438474655 2.214052200317383 0.0291972104460001 0.04069945216178894 0.09337998926639557 0.26202693581581116 0.07092767208814621 0.030079010874032974 0.1993519812822342 0.00875275768339634 0.004007645882666111 0.0338919498026371 0.023658014833927155 0.027069227769970894 0.6150450110435486 0.11554884910583496 0.40577006340026855 0.01223432645201683 0.04094779118895531 0.0793001726269722 0.0515277124941349 0.4127974510192871 0.08060009777545929 0.2618069350719452 0.030670491978526115 0.0025773874949663877 0.024182243272662163 0.07625418901443481 0.029754530638456345 0.01613793335855007 0.07551037520170212 0.0998302549123764 0.030574152246117592 0.01813938468694687 0.42010754346847534 0.06911993771791458 0.0328768827021122 0.08207081258296967 0.04809397831559181 0.054293252527713776 0.019890127703547478 0.031743042171001434 0.07389042526483536 0.010937684215605259 0.02762199379503727 0.037824273109436035 0.0868883803486824 0.0061174435541033745 0.03218337520956993
tortilla,0.08026380091905594 2.315127372741699 0.11717395484447479 0.21478095650672913 0.21291421353816986 0.07526657730340958 0.20241321623325348 0.09652470052242279 0.6556665301322937 0.06241382285952568 0.07074610143899918 0.051910605281591415 0.036439381539821625 0.04480554163455963 0.8366626501083374 0.01974005252122879 0.1020229309797287 0.16202495992183685 0.06661222875118256 0.026077669113874435 0.023256586864590645 0.06048073247075081 0.043269068002700806 0.10716792196035385 0.019484911113977432 0.005918456707149744 0.039184581488370895 0.01159852184355259 0.07005373388528824 0.03393234312534332 0.061482056975364685 0.090904101729393 0.05801132693886757 0.09990289062261581 0.0010372365359216928 0.039133064448833466 0.0661616325378418 0.04404730722308159 0.023615432903170586 0.01229847688227892 0.04962904006242752 0.038015056401491165 0.08320529758930206 0.017025794833898544 0.09067441523075104 0.047280050814151764 0.09443067014217377 0.016642076894640923 0.025102734565734863
tostada,0.03963392600417137 2.1244261264801025 0.19888824224472046 0.010898804292082787 0.06706012785434723 0.6206724047660828 0.032237641513347626 0.011622306890785694 0.04205205291509628 0.33907851576805115 0.09262631088495255 0.09318545460700989 0.07513727247714996 0.0366814024746418 0.09154407680034637 0.03889331594109535 0.010155240073800087 0.04002765566110611 0.10297733545303345 0.03994552418589592 0.02329532988369465 0.013913012109696865 0.02602524869143963 0.04547293484210968 0.026749417185783386 0.02942785806953907 0.013190198689699173 0.06055162847042084 0.008013740181922913 0.02139865979552269 0.016104690730571747 0.03846356272697449 0.002245935844257474 0.0214247889816761 0.05546058341860771 0.31380411982536316 0.013835146091878414 0.017726833000779152 0.013420047238469124 0.028999216854572296 0.02077331580221653 0.06843793392181396 0.03153572604060173 0.17514976859092712 0.01647859811782837 0.015836041420698166 0.043704356998205185 0.02015022188425064 0.060221824795007706
totem pole,0.7003162503242493 0.02455347590148449 0.5149009227752686 0.29103031754493713 0.011273871175944805 0.0559503547847271 1.1530826091766357 0.1808042973279953 0.5678935050964355 0.06101435795426369 0.3356293737888336 1.1717489957809448 0.028459690511226654 0.1204497292637825 0.010807123966515064 0.2156369835138321 0.023355728015303612 0.05100994184613228 0.13778060674667358 0.38866111636161804 0.04465577006340027 0.456451952457428 0.007926985621452332 0.04295065253973007 0.03897380456328392 0.1838926523923874 0.07075320184230804 0.018623974174261093 0.44553378224372864 0.04096079617738724 0.014555701985955238 0.00478964950889349 0.12338463217020035 0.014295658096671104 0.012384812347590923 0.0021898914128541946 0.07157189399003983 0.021579137071967125 0.04370981827378273 0.17935067415237427 0.059251781553030014 0.025673994794487953 0.008108002133667469 0.06659179925918579 0.09234616905450821 0.0433444082736969 0.002270955126732588 0.029886562377214432 0.15932020545005798
toucan,0.08739102631807327 0.24375472962856293 2.011134386062622 0.034929268062114716 0.019184444099664688 0.41040465235710144 0.05402689799666405 0.09836205095052719 0.0416032075881958 0.17314250767230988 0.5455490946769714 0.12521128356456757 0.0110420947894454 0.014413253404200077 0.024080995470285416 0.19786222279071808 0.023734083399176598 0.01053241640329361 0.048326969146728516 0.02913825400173664 0.18876217305660248 0.02729319967329502 0.3242373764514923 0.06956975907087326 0.022267408668994904 0.023458149284124374 0.08542627096176147 0.12621359527111053 0.7214652895927429 0.06653717905282974 0.018778912723064423 0.010383344255387783 0.01405614148825407 0.023380888625979424 0.2978975176811218 0.13920839130878448 0.13865579664707184 0.025144504383206367 0.03028912842273712 0.0518258735537529 0.25884363055229187 0.06869181990623474 0.03648322820663452 0.06691152602434158 0.0519108772277832 0.02287116087973118 0.030511578544974327 0.008875571191310883 0.04113107919692993
touchpad,1.1339271068572998 0.0068445890210568905 0.007835352793335915 0.023063112050294876 0.9958887100219727 0.017474614083766937 0.06452518701553345 0.14772947132587433 0.008847628720104694 0.053974129259586334 0.011099510826170444 0.0008094183867797256 1.1425610780715942 0.03682704642415047 0.13255582749843597 0.00983422715216875 0.002272585406899452 1.0117199420928955 0.021187903359532356 0.0005027672741562128 0.026869341731071472 0.05706159770488739 0.009874270297586918 0.0031493226997554302 0.05219990015029907 0.005626591853797436 0.04660432040691376 0.019426176324486732 0.1518801599740982 0.04083532094955444 0.011938758194446564 0.4113435745239258 0.04884897544980049 0.054864827543497086 -1.7143502191174775e-05 0.0006401304272003472 0.39337608218193054 0.03215713053941727 0.009043491445481777 0.01327118556946516 0.011286983266472816 0.03026425465941429 0.026840124279260635 0.042360518127679825 0.047997575253248215 0.06089692562818527 0.033714354038238525 0.007100062910467386 0.016796262934803963
towel,0.3313347399234772 0.3354686200618744 0.033098410815000534 1.6305677890777588 1.2507128715515137 0.12175901234149933 0.01797538623213768 0.01780691184103489 0.1779007762670517 0.125117689371109 0.5824835300445557 0.09034853428602219 0.0660891979932785 0.12514936923980713 0.26084792613983154 0.3073231279850006 0.5780788660049438 0.06455782800912857 0.22230173647403717 0.006766895297914743 0.1292182207107544 0.07111717760562897 0.8437949419021606 0.010414479300379753 0.6747074723243713 0.04137314856052399 0.018056681379675865 0.05981152504682541 0.08854367583990097 0.09000914543867111 0.012739432975649834 0.059167858213186264 0.19718657433986664 0.0316326841711998 0.005327052436769009 0.0486922524869442 0.0516967698931694 0.0282319076359272 0.08028609305620193 0.018808839842677116 0.048468366265296936 0.011358682066202164 0.03819771111011505 0.035592544823884964 0.1020343229174614 0.06700306385755539 0.021615488454699516 0.09290846437215805 0.05425804853439331
towel rack,0.6488397717475891 0.22745461761951447 0.022933874279260635 1.109230637550354 1.7155886888504028 0.0013165355194360018 0.03611059859395027 0.016966687515378 0.5653910636901855 0.16687537729740143 0.0961291715502739 0.299506276845932 0.022499822080135345 0.031123971566557884 0.011336748488247395 0.01793435402214527 0.10797672718763351 0.0012847618199884892 0.025632759556174278 0.349646657705307 0.14163458347320557 0.011178532615303993 0.1777675300836563 0.3494657278060913 0.8759143352508545 0.005238306242972612 0.029048101976513863 0.00019291555508971214 0.012133920565247536 0.010108495131134987 0.5001206994056702 0.17709030210971832 0.041649796068668365 0.08242318034172058 0.07664749771356583 0.021522309631109238 0.3374216854572296 0.026984015479683876 0.11336646974086761 0.007564057130366564 0.0262564979493618 0.03375985845923424 0.12461063265800476 0.007310038432478905 0.03273848071694374 0.009591284207999706 0.27216342091560364 0.00903684925287962 0.04749782383441925
toy,0.4296521544456482 0.03176701441407204 0.0799466148018837 0.04023986682295799 0.014926301315426826 0.041032709181308746 0.009226649068295956 0.17575277388095856 0.27470362186431885 0.3781307637691498 1.4479005336761475 0.41146203875541687 0.016265617683529854 0.7008758783340454 0.30024755001068115 0.005159431137144566 0.17042168974876404 0.18596935272216797 0.2229858785867691 0.017699632793664932 0.009803559631109238 0.02465604431927204 0.4674261212348938 0.0449712760746479 0.014437610283493996 0.05741557106375694 0.29021453857421875 0.04228129982948303 0.015564600005745888 0.29594650864601135 0.009211687371134758 0.015284248627722263 0.6335129737854004 0.023478766903281212 0.015173080377280712 0.03335506096482277 0.035506926476955414 0.010943233035504818 0.029073650017380714 0.007283875253051519 0.1258307248353958 0.01217834185808897 0.030621640384197235 0.0837668627500534 1.6210813522338867 0.2519703507423401 0.003421079134568572 0.007794035132974386 0.04045117646455765
tractor,1.0901297330856323 0.20745696127414703 0.34172868728637695 0.056862082332372665 0.030636752024292946 1.0811445713043213 0.6028740406036377 1.7926208972930908 0.09825408458709717 0.027962908148765564 0.08525203168392181 0.048854805529117584 0.17049598693847656 0.11092893779277802 0.0046013942919671535 0.03610023111104965 0.07984834909439087 0.03671189025044441 0.03465788811445236 0.03060888685286045 0.020850826054811478 0.034432996064424515 0.10332398116588593 0.009572463110089302 0.000881320214830339 0.07439551502466202 0.1643362194299698 0.007288370747119188 0.05514346808195114 0.05932147800922394 0.04189617186784744 0.029908619821071625 0.06733401119709015 0.030380886048078537 0.012863971292972565 0.004693655297160149 0.005564808379858732 0.009443026967346668 0.2819613814353943 0.010566125623881817 0.03834160417318344 0.031107839196920395 0.25199440121650696 0.10981465876102448 0.042267218232154846 0.013361824676394463 0.0055497982539236546 0.022824298590421677 0.003382173366844654
traffic light,1.090877652168274 0.060267627239227295 0.002776739653199911 0.010904975235462189 0.0422029085457325 0.31883907318115234 0.3090481758117676 1.0417730808258057 0.05367124825716019 0.0003025066980626434 0.7949421405792236 0.06559872627258301 0.9291804432868958 0.17447632551193237 0.07876390218734741 0.009146289899945259 0.07993215322494507 0.029739411547780037 0.18015559017658234 0.06557642668485641 0.060823000967502594 0.010741793550550938 0.1351330578327179 0.04416050761938095 0.02792329341173172 0.010761788114905357 0.00865100510418415 0.056909993290901184 0.5463619828224182 0.1334761381149292 0.0037065292708575726 0.009172072634100914 0.03805681690573692 0.02801581472158432 0.02122604101896286 0.03950066491961479 0.020914847031235695 0.06669290363788605 0.10230739414691925 0.06784768402576447 0.013745559379458427 0.6721919178962708 0.035042718052864075 0.35169553756713867 0.00511891208589077 0.0158171858638525 0.03512632101774216 0.005143836140632629 0.5890593528747559
trailer,0.9791957139968872 0.07545065134763718 0.16992081701755524 0.08309361338615417 0.7410696148872375 0.04048531875014305 0.5040874481201172 1.5687702894210815 0.5857093930244446 0.0667944848537445 0.41818100214004517 0.154158353805542 0.009589633904397488 0.3410559892654419 0.19678428769111633 0.10721424967050552 0.0055562094785273075 0.006916652899235487 0.15113705396652222 0.044645264744758606 0.05755698308348656 0.011623790487647057 0.10185519605875015 0.05330437421798706 0.04977376013994217 0.029621761292219162 0.03185803443193436 0.022259937599301338 0.08054972440004349 0.0279892198741436 0.010343245230615139 0.02274053357541561 0.013349496759474277 0.0017404764657840133 0.04284106194972992 0.23476874828338623 0.02539104036986828 0.024275677278637886 0.5232346653938293 0.0692533627152443 0.29031288623809814 0.19156619906425476 0.012584568001329899 0.688847541809082 0.040382642298936844 0.00834672525525093 0.0523509755730629 0.2620844542980194 0.01709224469959736
train,1.0310138463974 0.051246196031570435 0.09554056078195572 0.0523487851023674 0.03978390991687775 0.022620342671871185 0.4590766429901123 2.321113109588623 0.010230295360088348 0.025699064135551453 0.06238393485546112 0.4320412874221802 0.7213595509529114 0.11952924728393555 0.08090856671333313 0.0149947889149189 0.07133421301841736 0.07392022758722305 0.03415754809975624 0.02814530022442341 0.044619832187891006 0.016716154292225838 0.026576144620776176 0.01428094319999218 0.022802414372563362 0.04757360368967056 0.07629367709159851 0.07784389704465866 0.08192460983991623 0.007513782940804958 0.009044941514730453 0.08224385231733322 0.043151065707206726 0.018350202590227127 0.027658533304929733 0.018713319674134254 0.00785733014345169 0.017003845423460007 0.013633972965180874 0.24297785758972168 0.030597655102610588 0.013975827023386955 0.3870965242385864 0.040021657943725586 0.022265344858169556 0.002785262418910861 0.015135674737393856 0.0317310132086277 0.024505360051989555
train car,0.9114953279495239 0.020355399698019028 0.029059328138828278 0.005920402705669403 0.2282332181930542 0.037711746990680695 0.5503736138343811 2.003882884979248 0.4972437620162964 0.004239911679178476 0.02683803252875805 0.09286779910326004 0.3805111348628998 0.057733554393053055 0.030280904844403267 0.01815279945731163 0.010843233205378056 0.015535435639321804 0.0934719517827034 0.01663891039788723 0.08443180471658707 0.00804927758872509 0.8028077483177185 0.026001228019595146 0.023855039849877357 0.043288301676511765 0.0637601912021637 0.010628280229866505 0.08640386164188385 0.0673179030418396 0.008068426512181759 0.23061597347259521 0.03517431393265724 0.00022372473904397339 0.007024046033620834 0.04418153688311577 0.006401815451681614 0.03585611656308174 0.19763338565826416 0.034324102103710175 0.014672856777906418 0.20964393019676208 0.06746643036603928 0.10490935295820236 0.05296175181865692 0.04742195084691048 0.029042046517133713 0.010575108230113983 0.02397538349032402
train set,0.9791161417961121 0.01914825849235058 0.03997069597244263 0.022490661591291428 0.08675955981016159 0.018699312582612038 0.12334532290697098 1.2614974975585938 0.4956047832965851 0.022031065076589584 0.5627989768981934 0.8357835412025452 0.643119215965271 0.4759380519390106 0.17935994267463684 0.031526632606983185 0.5685905814170837 0.07644166797399521 0.021750908344984055 0.037364184856414795 0.05265554413199425 0.024134553968906403 0.06844170391559601 0.015646742656826973 0.010717249475419521 0.018733615055680275 0.046396393328905106 0.20554286241531372 0.047073155641555786 0.05153181031346321 0.07870005071163177 0.040357355028390884 0.008302866481244564 0.029665635898709297 0.02748696506023407 0.2959621846675873 0.028178080916404724 0.018716806545853615 0.16631805896759033 0.07381728291511536 0.04079791158437729 0.1519680619239807 0.01448226161301136 0.04955776780843735 0.34430426359176636 0.008949329145252705 0.3131675124168396 0.05790550261735916 0.11744999140501022
trampoline,0.6269866228103638 0.11837832629680634 0.1525193452835083 0.21762660145759583 0.8599402904510498 0.015851838514208794 0.5232332348823547 0.4555390775203705 0.011919588781893253 0.08129631727933884 0.3318012058734894 0.03447175770998001 0.08199787884950638 1.608644723892212 1.2290077209472656 0.39665889739990234 0.01574789173901081 0.029930192977190018 0.06429016590118408 0.128713458776474 0.04770413041114807 0.017624573782086372 0.12273338437080383 0.007175383623689413 0.08009745180606842 0.0372338704764843 0.07295756042003632 0.047537367790937424 0.24095644056797028 0.03886197507381439 0.3510647416114807 0.07431430369615555 0.012860842980444431 0.0045066759921610355 0.01043645665049553 0.20330925285816193 0.05886918678879738 0.03140001744031906 0.03926091268658638 0.016400046646595 0.03748554736375809 0.13283884525299072 0.7861387729644775 0.2785649001598358 0.2769189774990082 0.02169620804488659 0.4631105065345764 0.047699663788080215 0.02425120398402214
trap,1.181980848312378 0.2556399703025818 0.9088562726974487 0.03188524395227432 0.3081776201725006 0.1602824330329895 0.8979328870773315 0.3243158161640167 0.17587250471115112 0.026282262057065964 0.22159093618392944 0.029480526223778725 0.0802234560251236 0.07304208725690842 0.10049035400152206 0.04373153671622276 0.05549928545951843 0.06451410055160522 0.035330403596162796 0.2064315229654312 0.02602791227400303 0.11690599471330643 0.08669713884592056 0.013824496418237686 0.01998727023601532 0.010221445932984352 0.2924535572528839 0.027607476338744164 0.015015672892332077 0.003120473586022854 0.5690364837646484 0.21213622391223907 0.07745128870010376 0.07008179277181625 0.3774477541446686 0.0401223748922348 0.02435913123190403 0.04238603264093399 0.09312403202056885 0.1066666841506958 0.011008511297404766 0.840235710144043 0.07545358687639236 0.5088618397712708 0.08455326408147812 0.05707991495728493 0.682314395904541 0.05525759607553482 0.01221329066902399
trapdoor,0.9931814074516296 0.16569559276103973 0.022632841020822525 0.04740285873413086 1.0540599822998047 0.006393902003765106 0.5067612528800964 0.05415714532136917 1.456133246421814 0.05251223221421242 0.03590855002403259 0.013070821762084961 0.016070611774921417 -0.00010228686733171344 0.010922074317932129 0.060954101383686066 0.030553452670574188 0.43057820200920105 0.043803874403238297 0.01745823584496975 0.005626690573990345 0.09990974515676498 0.003992817364633083 0.00874299556016922 0.009430901147425175 0.295134037733078 0.006263168063014746 0.045376043766736984 0.01637142524123192 0.007442672271281481 0.016032744199037552 0.11264194548130035 0.05581652745604515 0.035564910620450974 0.006824360229074955 0.007760579232126474 0.0071393270045518875 0.01487759966403246 0.06825363636016846 0.007718472275882959 0.02152826264500618 0.8196505904197693 0.014282609336078167 0.05767221376299858 0.09589451551437378 0.026304664090275764 0.01984225958585739 0.027780871838331223 0.018853310495615005
trashcan,1.3793981075286865 0.4127393066883087 0.053450729697942734 0.09877876192331314 0.3075205385684967 0.06047970429062843 0.9451223015785217 0.2348913997411728 0.12928827106952667 0.061401836574077606 0.03741158917546272 0.04682527109980583 0.0035368746612221003 0.0023639840073883533 0.38332560658454895 0.006670750677585602 0.35300540924072266 0.02707955241203308 0.8835027813911438 0.016611410304903984 0.008346261456608772 0.06087135151028633 0.15515559911727905 0.07271363586187363 0.11191757768392563 0.08212246745824814 0.005364113487303257 0.013673278503119946 0.0150093212723732 0.03650428727269173 0.20654672384262085 0.034812916070222855 0.06010860204696655 0.07656579464673996 0.02606487274169922 0.040358610451221466 0.03771639242768288 0.038490600883960724 0.2516767978668213 0.05443911254405975 0.06769846379756927 0.04005075991153717 0.009941467083990574 1.116096019744873 0.03871166333556175 0.04640642926096916 0.04466097429394722 0.023049339652061462 0.001474626362323761
tray,1.4334380626678467 1.0205612182617188 0.02831379882991314 0.07185901701450348 1.103729248046875 0.00911810714751482 0.05138387158513069 0.010575513355433941 0.02453463524580002 0.03808759152889252 0.05265967920422554 0.2045770287513733 0.023298872634768486 0.026076046749949455 0.13573618233203888 0.06477977335453033 0.039369769394397736 0.6368589997291565 0.0487392395734787 0.03336327150464058 0.006022298242896795 0.014001038856804371 0.023922879248857498 0.040070775896310806 0.2866784632205963 0.01228379923850298 0.004912727512419224 0.014390993863344193 0.04231990501284599 0.004738037474453449 0.010319092310965061 0.38745132088661194 0.0013717039255425334 0.042874425649642944 0.01016273908317089 0.014690136536955833 0.002826753305271268 0.02803080528974533 0.04747750237584114 0.01276526041328907 0.016235176473855972 0.0954195111989975 0.017781399190425873 0.1559171825647354 0.030281759798526764 0.017579495906829834 0.08737341314554214 0.02626003511250019 0.037960149347782135
treadmill,1.2096223831176758 0.16998128592967987 0.0764484703540802 0.2836064100265503 0.7593451142311096 0.04649924486875534 0.09838046133518219 0.6563538312911987 0.05509498715400696 0.3797459006309509 0.010337233543395996 0.050725117325782776 0.8006613850593567 1.1562070846557617 0.01600855030119419 0.017574118450284004 0.02568814530968666 0.04157945513725281 0.21507501602172852 0.042683493345975876 0.005437032785266638 0.04597097262740135 0.020741691812872887 0.026876412332057953 0.16338655352592468 0.37662363052368164 0.13135628402233124 0.03228689357638359 0.07991901785135269 0.04132538288831711 0.0406327098608017 0.029263831675052643 0.05193493887782097 0.013529568910598755 0.04970873147249222 0.027652254328131676 0.05971366539597511 0.053801994770765305 0.15119019150733948 0.0023147230967879295 0.018927358090877533 0.32628804445266724 0.9885774254798889 0.026702171191573143 0.041686877608299255 0.40292954444885254 0.01906677335500717 0.06940217316150665 0.021006813272833824
